NR;SYMBOL;ISIN;Company Common Name; Company Market Capitalization ;TRBC Economic Sector Name;TRBC Economic Sector Code;Country ISO Code of Headquarters;Ccy
863;2267.T;JP3931600005;Yakult Honsha Co Ltd; 11’975’971’584.98 ;Consumer Non-Cyclicals;54;JP;JPY
864;FRT.N;US3137451015;Federal Realty Investment Trust; 8’718’805’281.68 ;Real Estate;60;US;USD
865;BFH.N;US0185811082;Bread Financial Holdings Inc; 6’521’096’787.88 ;Financials;55;US;USD
866;6869.T;JP3351100007;Sysmex Corp; 10’006’112’620.69 ;Healthcare;56;JP;JPY
867;VST.N;US92840M1027;Vistra Corp; 11’546’776’722.60 ;Utilities;59;US;USD
868;DAL.N;US2473617023;Delta Air Lines Inc; 34’212’373’179.90 ;Industrials;52;US;USD
869;REDE.MC;ES0173093024;Redeia Corporacion SA; 12’097’846’820.81 ;Utilities;59;ES;EUR
870;PKG.N;US6951561090;Packaging Corp of America; 7’886’744’491.08 ;Basic Materials;51;US;USD
871;UMI.BR;BE0974320526;Umicore SA; 9’851’252’408.48 ;Basic Materials;51;BE;EUR
872;AVY.N;US0536111091;Avery Dennison Corp; 7’789’181’577.84 ;Basic Materials;51;US;USD
873;UTDI.DE;DE0005089031;United Internet AG; 8’955’548’185.68 ;Technology;57;DE;EUR
874;CRDA.L;GB00BJFFLV09;Croda International PLC; 7’692’190’581.92 ;Basic Materials;51;GB;GBp
875;5332.T;JP3596200000;TOTO Ltd; 6’115’533’661.98 ;Consumer Cyclicals;53;JP;JPY
876;ODFL.OQ;US6795801009;Old Dominion Freight Line Inc; 10’095’330’474.56 ;Industrials;52;US;USD
877;SGE.L;GB00B8C3BL03;Sage Group PLC; 8’328’930’763.88 ;Technology;57;GB;GBp
878;J.N;US46982L1089;Jacobs Solutions Inc; 6’823’208’525.26 ;Industrials;52;US;USD
879;XRAY.OQ;US24906P1093;DENTSPLY SIRONA Inc; 8’280’997’126.25 ;Healthcare;56;US;USD
880;LKQ.OQ;US5018892084;LKQ Corp; 7’502’147’285.22 ;Consumer Cyclicals;53;US;USD
881;EDP.LS;PTEDP0AM0009;EDP SA; 12’786’476’552.33 ;Utilities;59;PT;EUR
882;8795.T;JP3539220008;T&D Holdings Inc; 7’597’904’951.93 ;Financials;55;JP;JPY
883;PNR.N;IE00BLS09M33;Pentair PLC; 6’474’117’374.70 ;Industrials;52;GB;USD
884;VOYA.N;US9290891004;Voya Financial Inc; 6’242’418’943.38 ;Financials;55;US;USD
885;FNF.N;US31620R3030;Fidelity National Financial Inc; 8’317’898’174.46 ;Financials;55;US;USD
886;DXS.AX;AU000000DXS1;Dexus; 7’614’779’530.92 ;Real Estate;60;AU;AUD
887;6506.T;JP3932000007;Yaskawa Electric Corp; 6’525’766’015.84 ;Industrials;52;JP;JPY
888;ACCP.PA;FR0000120404;Accor SA; 12’351’515’779.35 ;Consumer Cyclicals;53;FR;EUR
889;TWE.AX;AU000000TWE9;Treasury Wine Estates Ltd; 7’497’476’795.08 ;Consumer Non-Cyclicals;54;AU;AUD
890;IRM.N;US46284V1017;Iron Mountain Inc; 9’276’377’041.54 ;Real Estate;60;US;USD
891;OGE.N;US6708371033;OGE Energy Corp; 7’827’509’424.85 ;Utilities;59;US;USD
892;ASX.AX;AU000000ASX7;ASX Ltd; 8’056’233’732.41 ;Financials;55;AU;AUD
893;LDOS.N;US5253271028;Leidos Holdings Inc; 7’895’350’415.92 ;Technology;57;US;USD
894;DCC.L;IE0002424939;DCC PLC; 7’501’443’228.75 ;Consumer Non-Cyclicals;54;IE;GBp
895;ALLE.N;IE00BFRT3W74;Allegion PLC; 7’576’894’868.73 ;Technology;57;IE;USD
896;LBRDK.OQ;US5303073051;Liberty Broadband Corp; 12’241’697’506.70 ;Consumer Cyclicals;53;US;USD
897;WLIL.SI;SG1T56930848;Wilmar International Ltd; 14’483’913’438.49 ;Consumer Non-Cyclicals;54;SG;SGD
898;5713.T;JP3402600005;Sumitomo Metal Mining Co Ltd; 7’774’118’530.86 ;Basic Materials;51;JP;JPY
899;LUV.N;US8447411088;Southwest Airlines Co; 26’136’010’396.16 ;Industrials;52;US;USD
900;2002.T;JP3676800000;Nisshin Seifun Group Inc; 6’268’789’864.51 ;Consumer Non-Cyclicals;54;JP;JPY
